Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Description,Environment,Watchers,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Counter Measure),Custom field (Difficulty),Custom field (Fix Version/s),Custom field (Found Date),Custom field (Integrated CW),Custom field (Integrated Version),Custom field (Occurrence),Custom field (Origin of Task),Custom field (Original Estimate),Custom field (Planned End),Custom field (Planned Start),Custom field (Reject reason),Custom field (Risk),Custom field (Root cause),Custom field (SW Version),Custom field (SW_Version_Fix_Planned),Custom field (SW_Version_Fixed),Custom field (Story Points),Custom field (Test Delay Reason),Custom field (Test Result),Custom field (Velocity)
[ToDo] 양승근_09/15(금),FG-98,11085,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,sgyang,sgyang,sgyang,19/Sep/17 9:39 AM,19/Sep/17 9:40 AM,19/Oct/17 3:37 PM,,,0,"일일 업무 보고서 popup부분 구현

업무보고서 작성란의 조건들

출발시 계기판이 퇴근 계기판 보다 작아야 한다.

양수 ,소수점 허용등등 front end 제어를 진행 (Jquery)

 

 ",,sgyang,일일업무 보고서의 매출 액은 적자를 포함하지 않는 흑자 계산만 가능하게 설정 하였습니다.;19/Sep/17 9:40 AM;sgyang;36000,,,,28800,0,36000,125%,28800,0,36000,,,,,,,,,,,,,,,,,,,,,,
[ToDo] 양승근_09/14(목),FG-95,11082,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,sgyang,sgyang,sgyang,15/Sep/17 2:14 PM,15/Sep/17 2:15 PM,19/Oct/17 3:37 PM,,,0,"파일 업로드시 MD5값을 전달하는 방법 구현

라이브러리에 문제가 있는 부분을 수정하는데 시간이 많이 소모됨

Front end 모든 파일업로드 처리 완료 (디렉토리 부분 로직 구현 )",,sgyang,MD5 checksum 작업 진행 ;15/Sep/17 2:14 PM;sgyang;36000,,,,28800,0,36000,125%,28800,0,36000,,,,,,,,,,,,,,,,,,,,,,
[ToDo] 양승근_09/13(수),FG-94,11081,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,sgyang,sgyang,sgyang,15/Sep/17 2:11 PM,15/Sep/17 2:12 PM,19/Oct/17 3:37 PM,,,0,"첨부파일 drag and drop 기능 구현

파일 업로드 처리 부분 완료 (병렬로 데이터 전송 및 업로드)",,sgyang,"파일을 병렬로 업로드 하고

remove 버튼 클릭시 삭제가 되며

해당 파일을 cliclk시 다운로드가 되도록 개발함.

(파일 업로딩 및 DB처리 작업 포함);15/Sep/17 2:12 PM;sgyang;36000",,,,28800,0,36000,125%,28800,0,36000,,,,,,,,,,,,,,,,,,,,,,
[ToDo] 양승근_09/12(화),FG-87,11074,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,sgyang,sgyang,sgyang,13/Sep/17 9:26 AM,13/Sep/17 9:26 AM,19/Oct/17 3:37 PM,,,0,"Drag and Drop 기능구현

병렬 처리기반으로 데이터 전송 및 첨부파일 업로드 처리 

용량 300MB 제한 MD5 기능구현 

 ",,sgyang,파일 업로드 기능 구현;13/Sep/17 9:26 AM;sgyang;36000,,,,28800,0,36000,125%,28800,0,36000,,,,,,,,,,,,,,,,,,,,,,
[ToDo] 양승근_09/11(월),FG-84,11071,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,sgyang,sgyang,sgyang,12/Sep/17 10:41 AM,12/Sep/17 10:41 AM,19/Oct/17 3:37 PM,,,0,"주간 입력 부분 끝

팝업 jquery  부분 로직에 따른 수정 

front 쪽 코드를 차후 수정이 필요",,sgyang,주간일지 작성 부분 개발 완료;12/Sep/17 10:41 AM;sgyang;28800,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,
[ToDo] 양승근_09/09(토),FG-83,11070,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,sgyang,sgyang,sgyang,12/Sep/17 10:38 AM,12/Sep/17 10:39 AM,19/Oct/17 3:37 PM,,,0,"주간 입력 popup 작업 진행

입력 수정등 조건에 따른 로직 개선

조건 
 # 해당주는 포함 이전은 수정 불가
 # 이후는 날짜까지 수정가능
 # create 버튼으로 해당 일자를 클릭시 만약 문서가 있으면 수정 가능하게 표시",,sgyang,주간 입력 수정 ;12/Sep/17 10:39 AM;sgyang;28800,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,
[ToDo] 양승근_09/08(금),FG-79,11062,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,sgyang,sgyang,sgyang,09/Sep/17 4:30 PM,09/Sep/17 4:31 PM,19/Oct/17 3:37 PM,,,0,"validate js 파일을 만들어서 모든 form 입력 값을 검증할수 있는

Script 모듈을 구축함 차후 모든 from값 검증은 (front end) 

xml 로 묶어서 파싱을 진행함으로 유지보수에 편리함.

 

modal 업로드 작업 부분 ajax 로직개선 및 구축",,sgyang,form 값검증 모듈 개발 ;09/Sep/17 4:31 PM;sgyang;28800,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,
[ToDo] 양승근_09/07(목),FG-78,11061,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,sgyang,sgyang,sgyang,09/Sep/17 4:28 PM,09/Sep/17 4:28 PM,19/Oct/17 3:37 PM,,,0,"주간, 일일 ,상담 팝업 입력 관련

javascript 모듈화 작업 진행 utils class를 만들어

캡슐화를 통한 front 유지보수 편의 도모

 

 ",,sgyang,script 모듈화 작업 진행;09/Sep/17 4:28 PM;sgyang;28800,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,
[ToDo] 양승근_09/06(수),FG-71,11053,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,sgyang,sgyang,sgyang,07/Sep/17 11:05 AM,07/Sep/17 11:06 AM,19/Oct/17 3:37 PM,,,0,"모달방식 변경

기존 모달은 아래 깔아두고 css 로 제어를 하는 방식이라

슬모없는 문서인데도 페이지 상에서 자리를 잡고 있어서 로딩시 속도가 늦어지는 경향이 보임

그래서 각 필요시에 따라서 popup 모달을 ajax로 읽어서 append 하는 방식으로 변경

 ",,sgyang,모달 방식 변경;07/Sep/17 11:06 AM;sgyang;36000,,,,28800,0,36000,125%,28800,0,36000,,,,,,,,,,,,,,,,,,,,,,
[ToDo] 양승근_09/05(화),FG-70,11052,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,sgyang,sgyang,sgyang,07/Sep/17 11:01 AM,07/Sep/17 11:02 AM,19/Oct/17 3:37 PM,,,0,"모달을 이용하여 주간, 일간 , 상담일지 

입력, 수정 부분 UI작업 진행 ",,sgyang,"모달의 기본적인 모습과 주간 계획서 UI작업 및

DB로부터 데이터 받아오는 작업 등을 해결;07/Sep/17 11:01 AM;sgyang;36000",,,,28800,0,36000,125%,28800,0,36000,,,,,,,,,,,,,,,,,,,,,,
[ToDo] 양승근_09/04(월),FG-66,11048,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,sgyang,sgyang,sgyang,04/Sep/17 9:18 PM,04/Sep/17 9:20 PM,19/Oct/17 3:37 PM,,,0,"토글 기능 구현 (특정 글 작성시 또는 코멘트 삭제 수정시 발생)

상위 리스트로 이동가능하게 링크 수정

기존에 잘못된 쿼리 수정 

입력 수정 팝업 UI작업중 ",,sgyang,팝업 기능 수정;04/Sep/17 9:19 PM;sgyang;10800,"상위 리스트로 이동가능하게 변경 

및 기존에 잘못된 쿼리 수정 ;04/Sep/17 9:19 PM;sgyang;14400",팝업 Ui작업 진행;04/Sep/17 9:20 PM;sgyang;3600,팝업 Ui작업 ;04/Sep/17 9:20 PM;sgyang;7200,28800,0,36000,125%,28800,0,36000,,,,,,,,,,,,,,,,,,,,,,
