Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Description,Environment,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Attachment,Custom field (Counter Measure),Custom field (Difficulty),Custom field (Fix Version/s),Custom field (Found Date),Custom field (Integrated CW),Custom field (Integrated Version),Custom field (Occurrence),Custom field (Origin of Task),Custom field (Original Estimate),Custom field (Planned End),Custom field (Planned Start),Custom field (Reject reason),Custom field (Risk),Custom field (Root cause),Custom field (SW Version),Custom field (SW_Version_Fix_Planned),Custom field (SW_Version_Fixed),Custom field (Story Points),Custom field (Test Delay Reason),Custom field (Test Result),Custom field (Velocity),Comment,Comment,Comment,Comment
[ToDo] 문성훈 09/21(목),FG-104,11091,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,shmoon,shmoon,shmoon,21/Sep/17 12:37 PM,26/Sep/17 9:17 PM,26/Sep/17 9:17 PM,,,0,"안드로이드 다른기기로 로그인시 이전에 로그인된 기기에는 CRUD작업전에 UID체크를 하여 프로그램을 쓸 수 없도록 만든다. 이전기기에서 로그아웃을 해도 DB에는 데이터 변화없음

노드서버 uid체크 api 개발",,shmoon,"안드로이드 다른기기 로그인시 로그아웃 로직완성

노드서버 api 개발완료;21/Sep/17 3:07 PM;shmoon;18000",,,,,28800,10800,18000,62%,28800,10800,18000,,,,,,,,,,,,,,,,,,,,,,,,,,"22/Sep/17 10:40 AM;shmoon;[~shmoon] logged work - 21/Sep/17 10:00 AM
 * Time Spent:5 hours 안드로이드 다른기기 로그인시 로그아웃 로직완성

노드서버 api 개발완료",,,
[ToDo] 문성훈 09/20(수),FG-102,11089,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,shmoon,shmoon,shmoon,20/Sep/17 10:56 AM,22/Sep/17 10:41 AM,19/Oct/17 3:37 PM,,,0,"DB 컬럼 변경내용 적용

새로운 DB에 테스트",,shmoon,"고객리스트 1개로 통합

상담일지 상세보기 쿼리 변경;20/Sep/17 7:01 PM;shmoon;28800",,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,"22/Sep/17 10:41 AM;shmoon;[~shmoon] logged work - 20/Sep/17 10:00 AM
 * Time Spent:1 day 고객리스트 1개로 통합

상담일지 상세보기 쿼리 변경",,,
[ToDo] 문성훈 09/19(화),FG-100,11087,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,shmoon,shmoon,shmoon,19/Sep/17 10:11 AM,22/Sep/17 10:41 AM,19/Oct/17 3:37 PM,,,0,"안드로이드 작업

노드 작업.

리드서버 라이브러리 설치, aws에 라이브러리 설치 및 노드 테스트",,shmoon,"안드로이드 그래프 그래픽 출력 변경

노드사이드 주간계획서에서 보고서 불러올 때 데이터 Read 변경

 원격서버에 sharp 라이브러리 설치 완료;19/Sep/17 6:24 PM;shmoon;25200",,,,,28800,3600,25200,87%,28800,3600,25200,,,,,,,,,,,,,,,,,,,,,,,,,,"22/Sep/17 10:41 AM;shmoon;[~shmoon] logged work - 19/Sep/17 10:00 AM - edited
 * Time Spent:7 hours 안드로이드 그래프 그래픽 출력 변경

노드사이드 주간계획서에서 보고서 불러올 때 데이터 Read 변경

 원격서버에 sharp 라이브러리 설치 완료",,,
[ToDo] 문성훈 09/18(월),FG-96,11083,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,shmoon,shmoon,shmoon,18/Sep/17 10:00 AM,22/Sep/17 10:41 AM,19/Oct/17 3:37 PM,,,0,"안드로이드 그래프 완성 + 그래프 UI

주간계획서의 일일계획서 목표매출액 수정시 일일보고서들(같은날짜) 목표매출액 수정 조건 추가 필요",,shmoon,"안드로이드 그래프 완성(UI)

팀장 팀전체 그래프값 개별 그래프값 확인가능

유저 자신의 그래프값만 확인 가능

일일보고서 매출목표액값 주간계획서에서 받아옴 미승인인데 미래의 데이터의 경우

주간계획서의 매출목표액이 바뀌면 미래의 보고서들의 매출목표액도 바뀐다( 최초작성도 마찬가지)

 ;18/Sep/17 6:09 PM;shmoon;25200",,,,,28800,3600,25200,87%,28800,3600,25200,,,,,,,,,,,,,,,,,,,,,,,,,,"22/Sep/17 10:41 AM;shmoon;[~shmoon] logged work - 18/Sep/17 10:00 AM
 * Time Spent:7 hours 안드로이드 그래프 완성(UI)

팀장 팀전체 그래프값 개별 그래프값 확인가능

유저 자신의 그래프값만 확인 가능

일일보고서 매출목표액값 주간계획서에서 받아옴 미승인인데 미래의 데이터의 경우

주간계획서의 매출목표액이 바뀌면 미래의 보고서들의 매출목표액도 바뀐다( 최초작성도 마찬가지)

 ",,,
[ToDo] 문성훈 09/15(금),FG-91,11078,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,shmoon,shmoon,shmoon,15/Sep/17 10:04 AM,22/Sep/17 10:41 AM,19/Oct/17 3:37 PM,,,0,"일일보고서 첨부파일 UI 작업

첨부파일 올릴때 무엇을 올리는지 볼 수 있도록

그래프 데이터 출력 쿼리 만들기",,shmoon,"안드로이드 업로드 기능 완성

일일보고서 작성 된 후 상세보기 화면에서 가능 작성자만이 파일업로드 가능

미승인된 보고서에만 업로드 가능

한번에 최대 5개의 파일 업로드

사용자가 탐색기에서 가져온 파일의 이름을 확인 할 수 있음

 ;15/Sep/17 1:45 PM;shmoon;7200",안드로이드 그래프 작업;15/Sep/17 7:10 PM;shmoon;21600,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,"22/Sep/17 10:41 AM;shmoon;[~shmoon] logged work - 15/Sep/17 10:00 AM
 * Time Spent:2 hours 안드로이드 업로드 기능 완성

일일보고서 작성 된 후 상세보기 화면에서 가능 작성자만이 파일업로드 가능

미승인된 보고서에만 업로드 가능

한번에 최대 5개의 파일 업로드

사용자가 탐색기에서 가져온 파일의 이름을 확인 할 수 있음

 ",,,
[ToDo] 문성훈 09/14(목),FG-90,11077,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,shmoon,shmoon,shmoon,14/Sep/17 9:57 AM,15/Sep/17 2:10 PM,19/Oct/17 3:37 PM,,,0,안드로이드와 노드 첨부파일 재개발,,shmoon,파일업로드 개발 완료 섬네일 경로;14/Sep/17 8:19 PM;shmoon;28800,,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,"14/Sep/17 8:19 PM;shmoon;[~shmoon] logged work - 14/Sep/17 10:19 AM - edited
 * Time Spent:1 day 파일업로드 개발 완료 섬네일 경로",,,
[ToDo] 문성훈 09/13(수),FG-88,11075,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,shmoon,shmoon,shmoon,13/Sep/17 9:55 AM,15/Sep/17 2:10 PM,19/Oct/17 3:37 PM,,,0,안드로이드 그래프 작업,,shmoon,"안드로이드 그래프 기본사항 적용

**UI작업 필요

주간계획서 5주에 해당하는 목표액, 매출액을 서버로 부터 받아와서 그래프로 표현

 

 ;13/Sep/17 2:55 PM;shmoon;14400",,,,,28800,14400,14400,50%,28800,14400,14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ToDo] 문성훈 09/12(화),FG-85,11072,ToDo,In Progress,FG,First Group,business,sgyang,,,Top,,shmoon,shmoon,shmoon,12/Sep/17 2:31 PM,12/Sep/17 6:02 PM,19/Oct/17 3:37 PM,,,0,안드로이드 floating action button 개발,,shmoon,기본 floatingactionbutton 완료;12/Sep/17 2:32 PM;shmoon;7200,calendar 날짜 누르면 해당 날짜의 주차계획서 데이터 가져옴 ui작업 필요;12/Sep/17 6:02 PM;shmoon;14400,,,,28800,7200,21600,75%,28800,7200,21600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ToDo] 문성훈 09/11(월),FG-81,11064,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,shmoon,shmoon,shmoon,11/Sep/17 10:05 AM,12/Sep/17 10:36 AM,19/Oct/17 3:37 PM,,,0,모바일과 검색기능 테스트,,shmoon,"그래프에 출력할 주간 매출총액 api 개발

팀장: 자기 부서의 총매출액

사원: 본인의 총 매출액

주간계획서의 first_weekday 값으로 주차별로 데이터 값을 db로부터 가져옴;11/Sep/17 2:33 PM;shmoon;7200",안드로이드와 스피너 검색부분 버그 수정;11/Sep/17 7:02 PM;shmoon;21600,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,"11/Sep/17 7:02 PM;shmoon;[~shmoon] logged work - 11/Sep/17 2:00 PM
 * Time Spent:6 hours 안드로이드와 스피너 검색부분 버그 수정
Permalink [Edit|http://192.168.1.7:8181/secure/UpdateWorklog!default.jspa?id=11064&worklogId=10346] [Delete|http://192.168.1.7:8181/secure/DeleteWorklog!default.jspa?id=11064&worklogId=10346]
[~shmoon] logged work - 11/Sep/17 11:30 PM - edited
 * Time Spent:2 hours 그래프에 출력할 주간 매출총액 api 개발

팀장: 자기 부서의 총매출액

사원: 본인의 총 매출액

주간계획서의 first_weekday 값으로 주차별로 데이터 값을 db로부터 가져옴",,,
[ToDo] 문성훈 09/09(토),FG-77,11060,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,shmoon,shmoon,shmoon,09/Sep/17 9:11 AM,12/Sep/17 10:36 AM,19/Oct/17 3:37 PM,,,0,"그래프 데이터 api 설계

안드로이드 로그인 유지를 위한 로직설계 sharedpreference사용",,shmoon,앱에서 토큰 저장 노드서버 api 추가;09/Sep/17 5:09 PM;shmoon;25200,,,,,28800,3600,25200,87%,28800,3600,25200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
